battery_id,manufacturer,chemistry,capacity_kWh,charge_cycles,avg_temp_celsius,discharge_rate_c,charge_rate_c,avg_soc_percent,storage_time_months,fast_charge_ratio,calendar_age_years,capacity_retained_percent
BAT000047,Panasonic,NMC,68.7,502,22.53,0.679,0.728,58.91,9.7,0.256,0.92,92.41
BAT000048,LG Chem,NMC,,1706,33.44,1.592,1.573,54.96,5.4,0.298,6.02,73.92
BAT000049,,NMC,77.99,928,26.2,0.687,2.041,74.62,10.6,0.358,0.31,87.5
BAT000050,Tesla,NMC,75.84,505,40.01,1.032,1.63,45.66,5.7,0.362,0.38,86.43
BAT000051,Samsung SDI,NCA,90.96,687,29.42,1.102,1.181,30.6,0.5,0.405,,82.75
BAT000052,BYD,LFP,68.78,,18.7,0.585,1.102,46.86,4.0,0.359,2.92,73.01
BAT000053,Samsung SDI,NMC,45.29,714,11.06,1.036,0.962,,3.3,0.126,1.2,90.45
BAT000054,Samsung SDI,NCA,69.54,1093,49.46,1.743,1.046,,5.8,0.555,0.71,72.82
BAT000055,CATL,NMC,50.6,835,28.96,0.844,0.935,63.51,2.7,0.317,1.26,83.43
BAT000056,Samsung SDI,LFP,81.24,748,38.35,1.593,0.802,64.73,2.8,0.067,0.47,86.65
BAT000057,Tesla,NMC,49.89,907,30.59,1.481,0.845,62.71,3.4,0.257,3.55,83.66
BAT000058,Tesla,LFP,60.17,666,34.73,1.155,1.062,51.49,3.6,0.2,0.53,87.59
BAT000059,Tesla,NMC,69.56,654,20.05,0.5,1.659,40.61,0.6,0.312,0.41,91.85
BAT000060,Panasonic,NMC,98.16,1415,11.47,1.053,0.903,56.04,2.9,0.664,0.89,79.76
BAT000061,LG Chem,NMC,58.91,539,31.79,1.469,0.933,62.08,1.7,0.145,0.88,89.22
BAT000062,Panasonic,NMC,75.19,1760,,1.787,0.813,76.91,4.9,0.561,3.54,69.49
BAT000063,BYD,,83.7,277,19.86,0.863,0.5,55.71,0.9,0.316,0.11,92.37
BAT000064,Panasonic,NMC,97.26,,30.42,1.054,1.213,46.07,6.8,0.552,1.49,78.11
BAT000065,Panasonic,NMC,86.67,855,27.32,0.888,1.163,40.7,0.7,0.371,0.27,89.0
BAT000066,CATL,LFP,91.41,750,24.23,1.938,0.5,64.37,0.2,0.173,0.41,91.64
BAT000067,Tesla,NMC,87.96,326,29.06,1.576,0.655,51.78,2.7,0.53,1.29,91.14
BAT000068,BYD,LFP,56.86,958,21.49,1.294,1.767,39.15,1.4,0.48,2.62,89.32
BAT000069,Tesla,NMC,80.4,1079,17.29,1.522,0.932,88.18,12.5,0.42,2.65,81.79
BAT000070,Samsung SDI,NCA,87.73,1149,27.84,1.056,0.732,28.5,0.3,0.135,5.58,76.15
BAT000071,BYD,NCA,60.65,447,26.88,1.175,,47.65,24.0,0.148,1.25,89.25
BAT000072,Tesla,NMC,66.3,347,7.17,0.702,1.489,66.66,2.0,0.373,1.01,91.87
BAT000073,Tesla,LFP,62.95,50,16.73,0.888,1.301,71.1,6.2,0.251,0.82,95.37
BAT000074,BYD,NMC,86.59,449,20.29,1.692,0.857,70.53,10.0,,0.79,95.9
BAT000075,CATL,,73.96,956,28.67,1.466,1.491,55.28,1.6,0.08,,
BAT000076,,NMC,70.19,670,14.34,1.5,0.91,52.92,1.2,0.427,2.02,84.42
BAT000077,BYD,NMC,55.77,846,22.76,0.5,0.868,53.47,5.3,0.422,0.2,87.62
BAT000078,Tesla,NMC,73.99,1730,38.56,0.587,1.564,45.97,6.5,0.348,1.6,72.94
BAT000079,Panasonic,NMC,66.49,651,25.47,0.731,1.045,43.9,3.4,0.213,0.1,90.81
BAT000080,Tesla,NMC,78.65,1368,,0.773,0.51,,1.0,0.105,0.1,86.57
BAT000081,BYD,LFP,57.86,343,24.57,1.013,0.543,31.47,1.8,0.217,0.64,92.79
BAT000082,CATL,NMC,77.67,1454,,0.5,0.853,40.59,10.8,0.184,2.94,78.57
BAT000083,Panasonic,NMC,68.42,556,25.29,0.5,0.754,75.04,1.2,0.229,0.66,89.93
BAT000084,Tesla,NMC,56.26,1293,23.46,1.182,1.247,44.06,1.9,0.574,0.35,81.11
BAT000085,Panasonic,NMC,55.09,747,26.07,1.029,0.5,69.77,10.5,0.183,0.79,87.34
BAT000086,Panasonic,NMC,57.34,810,,0.5,1.052,69.36,5.4,0.6,1.32,80.83
BAT000087,BYD,LFP,71.9,714,27.81,0.873,1.185,50.31,5.9,0.379,1.86,90.7
BAT000088,CATL,NMC,76.81,1230,25.4,0.5,1.288,84.24,0.3,0.161,0.35,87.61
BAT000089,Samsung SDI,LFP,79.05,683,33.24,0.974,0.5,57.79,3.5,0.53,0.59,86.79
BAT000090,LG Chem,NMC,79.61,1054,38.92,0.604,1.508,46.1,2.2,0.448,3.58,
BAT000091,Tesla,NMC,63.62,171,2.59,1.137,0.586,44.72,2.6,0.318,1.87,94.42
BAT000092,BYD,LFP,90.88,708,28.13,,,73.18,4.1,0.274,4.11,87.34
BAT000093,BYD,NMC,68.37,512,28.05,1.077,0.5,29.01,0.2,0.518,1.47,88.59
BAT000094,CATL,NMC,81.75,557,20.64,0.59,1.19,40.87,8.4,0.377,2.53,89.72
BAT000095,BYD,LFP,72.54,,40.85,0.991,0.75,37.32,1.2,0.427,0.73,75.8
BAT000096,LG Chem,NMC,80.63,633,,0.504,0.818,61.15,6.5,0.308,2.02,83.59
BAT000097,LG Chem,NMC,71.79,1393,28.18,0.685,0.687,72.25,,0.314,0.45,87.48
BAT000098,LG Chem,LFP,80.9,820,35.32,0.763,1.149,37.63,5.1,0.179,2.3,87.83
BAT000099,,LFP,74.89,50,26.88,0.934,1.115,,7.3,0.304,0.66,96.64
BAT000100,Tesla,,87.21,533,23.92,1.201,1.272,69.43,17.9,0.205,0.1,90.41
BAT000101,Tesla,NMC,62.72,722,29.95,1.331,1.484,36.41,0.5,0.217,1.22,91.23
BAT000102,CATL,NMC,48.45,560,27.58,1.876,1.299,37.8,0.3,0.491,2.97,87.94
BAT000103,Panasonic,NMC,60.4,1100,28.07,1.296,0.905,,4.9,0.718,0.53,79.8
BAT000104,LG Chem,LFP,91.03,957,23.39,0.5,1.801,74.03,15.5,0.441,2.7,82.65
BAT000105,Samsung SDI,NCA,72.68,366,21.0,1.239,0.772,46.53,1.1,0.116,1.96,89.87
BAT000106,Panasonic,NCA,76.38,792,21.26,1.192,0.698,56.32,2.2,0.091,9.37,74.78
BAT000107,LG Chem,NMC,59.2,,28.64,0.906,1.344,45.22,1.8,0.341,2.79,88.95
BAT000108,BYD,NMC,75.98,282,29.55,0.5,0.651,67.77,17.1,,1.54,91.14
BAT000109,Panasonic,LFP,59.66,340,6.6,0.5,0.728,51.9,1.5,0.305,1.33,91.48
BAT000110,Tesla,NMC,61.86,,19.87,0.5,0.616,27.68,4.5,0.567,0.99,81.05
BAT000111,Panasonic,LFP,68.96,720,13.87,0.911,0.745,80.46,6.0,,1.34,92.54
BAT000112,Tesla,LFP,81.68,277,21.51,1.382,1.076,55.87,2.1,0.341,0.75,94.9
BAT000113,Samsung SDI,NCA,83.28,1400,20.78,0.939,1.319,71.75,0.6,0.207,0.1,
BAT000114,BYD,NMC,83.69,338,26.04,1.813,1.686,58.83,,0.152,3.16,92.47
BAT000115,CATL,NMC,51.18,,26.3,1.392,0.778,56.21,1.2,0.583,3.22,83.81
BAT000116,,LFP,74.9,960,39.91,0.943,0.959,38.11,,0.06,0.87,86.96
BAT000117,BYD,LFP,72.05,514,27.61,0.5,0.695,66.46,,0.056,0.49,94.75
BAT000118,Tesla,NCA,52.02,1166,8.67,0.5,0.623,30.62,1.1,0.287,0.22,80.53
BAT000119,Samsung SDI,NMC,75.24,418,15.05,0.889,0.863,33.74,2.0,0.094,2.36,37.13
BAT000120,CATL,LFP,71.24,736,22.66,1.714,0.678,67.95,1.0,0.244,0.1,92.94
BAT000121,BYD,LFP,82.67,748,17.42,0.61,1.422,70.78,2.3,,2.32,87.36
BAT000122,Samsung SDI,NMC,76.22,1257,29.19,1.099,0.794,58.6,0.9,0.191,0.33,83.49
BAT000123,Panasonic,NMC,66.76,618,,2.603,0.73,58.55,6.2,0.204,3.06,83.84
BAT000124,Tesla,LFP,88.89,1253,22.61,1.86,1.029,,14.7,0.376,6.32,
BAT000125,Panasonic,NMC,41.68,680,31.7,0.568,0.948,80.06,,0.121,1.8,85.4
BAT000126,LG Chem,NMC,74.04,501,23.11,1.132,0.847,72.92,2.8,0.352,2.02,84.82
BAT000127,BYD,LFP,48.55,1485,34.34,,1.258,65.45,0.5,0.031,0.77,83.92
BAT000128,,NMC,61.32,411,34.24,1.64,1.786,90.0,0.9,0.514,0.55,86.99
BAT000129,Tesla,NCA,82.87,634,20.55,1.382,1.017,35.65,0.3,0.257,,90.71
BAT000130,LG Chem,NMC,55.89,1041,32.79,0.5,0.5,30.38,5.5,0.287,1.52,82.81
BAT000131,LG Chem,NMC,53.64,1392,25.79,0.5,,32.88,3.5,0.459,0.1,82.1
BAT000132,Panasonic,NCA,110.73,514,22.24,1.111,1.206,78.81,1.5,0.118,0.66,93.17
BAT000133,Tesla,NCA,54.61,425,27.76,1.654,1.277,90.0,11.4,0.089,1.08,92.94
BAT000134,Panasonic,NMC,99.76,188,13.89,0.5,1.08,,0.6,,0.1,
BAT000135,Samsung SDI,LFP,72.42,230,21.23,0.913,1.375,20.68,0.7,0.195,2.4,95.97
BAT000136,Panasonic,NMC,67.13,985,27.92,0.5,1.067,74.8,0.1,0.128,0.83,91.05
BAT000137,LG Chem,NMC,83.5,691,22.94,1.054,0.848,43.7,0.8,0.079,3.01,87.26
BAT000138,CATL,NMC,95.05,238,32.55,1.05,0.5,65.13,1.5,0.62,2.42,88.94
BAT000139,Panasonic,NMC,57.81,651,22.21,,0.632,57.17,12.9,0.015,5.25,84.4
BAT000140,Samsung SDI,LFP,67.35,571,25.85,1.923,1.067,51.33,12.3,0.413,0.44,88.13
BAT000141,Samsung SDI,LFP,87.7,,24.16,2.212,0.894,63.25,0.5,0.023,0.47,
BAT000142,Panasonic,NCA,79.32,799,14.3,0.724,2.105,28.11,3.9,0.274,2.48,83.23
BAT000143,LG Chem,LFP,91.53,1885,27.75,0.641,1.607,15.82,0.8,0.43,3.58,73.22
BAT000144,,NMC,82.73,671,27.22,,1.128,,5.3,0.423,,89.76
BAT000145,Panasonic,LFP,102.12,829,,0.845,0.914,,1.8,0.091,0.62,92.29
BAT000146,Tesla,NCA,77.68,345,7.71,1.296,,58.97,1.2,0.375,2.4,90.16
BAT000147,CATL,LFP,78.33,686,21.83,1.104,1.693,,0.6,0.141,3.36,89.24
BAT000148,LG Chem,LFP,,147,33.61,1.3,0.964,56.72,4.5,0.372,3.72,89.12
BAT000149,Tesla,NCA,72.86,898,44.03,0.691,1.371,48.54,2.2,0.32,2.48,77.92
BAT000150,Panasonic,NMC,87.72,654,,0.5,1.107,54.31,2.2,0.021,3.56,86.79
BAT000151,Samsung SDI,LFP,78.56,735,36.38,2.13,1.316,60.75,2.8,0.046,2.95,86.2
BAT000152,Panasonic,NCA,86.82,381,33.13,2.484,0.795,54.63,2.6,0.452,0.13,88.72
BAT000153,Tesla,NCA,89.17,243,20.92,0.5,0.654,40.16,2.0,0.07,1.08,96.44
BAT000154,LG Chem,,81.43,81,38.18,1.304,1.253,70.95,2.3,0.495,2.51,87.61
BAT000155,Samsung SDI,NMC,82.53,164,,0.783,0.583,28.67,5.6,0.29,0.64,94.82
BAT000156,Panasonic,LFP,,670,23.41,0.533,1.232,73.24,10.4,0.301,3.33,88.03
BAT000157,CATL,NMC,66.74,664,12.54,0.833,1.378,60.05,6.2,0.082,0.89,89.06
BAT000158,BYD,LFP,87.65,,25.71,1.022,0.519,44.74,2.0,0.174,0.97,90.56
BAT000159,Panasonic,NMC,96.35,791,25.29,1.212,0.928,53.08,0.8,,8.39,80.07
BAT000160,BYD,NMC,45.89,1790,40.67,1.298,0.966,40.35,0.5,0.526,2.08,71.05
BAT000161,Panasonic,,66.48,449,18.38,1.474,1.522,41.41,11.5,0.066,2.9,93.5
BAT000162,CATL,NMC,75.35,643,18.8,0.635,0.5,63.95,1.2,0.298,2.46,89.46
BAT000163,CATL,NMC,61.81,559,21.43,0.863,1.216,61.92,5.4,0.115,0.54,93.93
BAT000164,,NMC,62.66,1411,43.59,1.706,0.777,55.32,1.3,0.189,1.46,78.27
BAT000165,Tesla,NMC,82.12,356,16.95,1.069,1.152,43.12,1.8,0.21,1.35,92.12
BAT000166,BYD,NMC,,493,34.16,0.518,,57.03,2.0,0.039,0.19,88.83
BAT000167,,NMC,44.52,620,14.1,1.819,1.25,34.9,4.6,0.131,0.16,92.86
BAT000168,Tesla,,72.44,633,28.02,1.144,0.5,56.34,3.8,0.143,3.02,87.05
BAT000169,Tesla,LFP,81.95,664,25.69,1.164,0.543,38.11,6.7,0.215,1.28,87.22
BAT000170,CATL,LFP,86.7,669,36.9,0.664,1.039,59.84,8.0,0.3,2.59,89.03
BAT000171,CATL,NMC,79.79,594,30.02,1.059,1.177,47.84,5.4,0.183,3.25,86.61
BAT000172,Tesla,NMC,101.42,794,19.4,1.729,1.263,48.63,18.6,0.072,0.28,
BAT000173,LG Chem,LFP,75.43,530,13.69,0.5,0.5,70.63,1.1,0.163,4.1,92.0
BAT000174,,NMC,94.68,491,22.82,0.518,1.07,74.21,3.1,0.69,0.93,88.51
BAT000175,CATL,NCA,65.3,250,18.58,1.399,0.5,53.94,6.4,0.462,1.41,91.59
BAT000176,Tesla,LFP,75.87,827,26.81,0.812,0.826,41.18,1.7,0.253,0.7,88.63
BAT000177,CATL,NMC,56.81,851,23.0,1.627,1.341,44.29,1.7,0.016,2.22,87.58
BAT000178,LG Chem,NMC,,1655,,1.751,1.345,47.79,3.8,0.085,1.96,81.39
BAT000179,Samsung SDI,NMC,73.19,735,,1.106,,74.47,6.9,0.242,1.57,90.85
BAT000180,Tesla,NMC,80.37,1444,26.93,0.598,1.029,20.94,0.8,0.187,7.35,76.32
BAT000181,Panasonic,NMC,70.3,1121,16.86,0.819,1.05,54.54,3.4,0.194,2.17,82.45
BAT000182,Tesla,NMC,83.8,,22.01,1.211,1.178,,11.1,,0.94,90.68
BAT000183,Samsung SDI,,80.96,255,18.62,2.079,0.551,82.41,4.8,0.209,4.88,93.43
BAT000184,BYD,NMC,60.08,762,33.29,1.237,0.713,74.06,8.7,0.188,0.48,84.18
BAT000185,,NMC,60.95,643,-7.56,0.5,1.031,48.57,0.0,0.054,0.78,94.16
BAT000186,CATL,LFP,74.58,979,20.45,0.5,1.03,50.15,2.6,0.469,1.54,88.49
BAT000187,,,84.89,978,27.09,0.5,2.534,65.64,5.2,0.201,0.52,
BAT000188,CATL,,102.94,587,20.0,,0.859,41.76,1.0,0.233,2.83,89.72
BAT000189,LG Chem,NMC,79.54,1000,34.87,0.971,0.915,80.05,4.3,0.322,0.38,86.83
BAT000190,Panasonic,LFP,90.11,,38.7,1.679,0.5,57.98,0.9,0.173,1.7,87.88
BAT000191,Tesla,NCA,50.81,468,18.72,0.5,0.5,52.14,1.1,0.277,4.08,91.41
BAT000192,Samsung SDI,NMC,105.19,654,30.92,0.725,1.587,76.78,4.9,0.176,1.24,86.61
BAT000193,Samsung SDI,NMC,84.09,585,19.09,1.505,0.538,,0.4,0.499,2.85,84.7
BAT000194,CATL,NMC,74.26,583,22.5,0.977,1.122,67.41,2.7,0.227,1.03,90.41
BAT000195,Panasonic,NMC,,1133,29.83,0.598,1.542,59.8,3.0,0.079,5.13,80.29
BAT000196,,NMC,58.39,1559,25.98,0.901,1.007,47.93,1.3,0.363,1.52,77.33
BAT000197,BYD,,62.68,254,26.16,0.539,0.568,56.25,10.7,0.222,3.9,86.69
BAT000198,Samsung SDI,NCA,103.66,632,32.69,1.446,1.359,55.95,11.3,,2.58,84.57
BAT000199,Samsung SDI,NMC,60.16,808,32.64,1.6,1.845,58.36,7.0,0.309,1.25,81.37
BAT000200,BYD,NMC,59.88,400,25.36,1.524,1.383,65.77,2.0,0.129,1.03,91.94
BAT000201,CATL,LFP,64.47,498,20.56,0.651,0.561,55.75,2.9,0.595,0.38,89.02
BAT000202,Tesla,NMC,57.03,417,25.01,1.377,0.896,38.99,12.6,0.499,8.3,80.8
BAT000203,,NMC,75.23,1082,17.94,0.727,1.116,75.02,2.5,0.279,0.66,
BAT000204,Samsung SDI,NMC,91.33,695,30.5,0.5,1.101,49.31,,0.304,2.26,85.76
BAT000205,CATL,NMC,65.84,622,,1.191,0.643,47.66,0.2,0.578,0.78,92.7
BAT000206,Tesla,NMC,54.4,460,17.26,1.079,1.692,49.32,2.5,0.521,0.1,93.18
BAT000207,Tesla,LFP,79.38,1959,34.39,1.243,1.052,43.78,7.1,0.017,3.56,78.7
BAT000208,CATL,LFP,74.16,475,,1.064,0.936,51.1,12.0,0.56,1.86,86.77
BAT000209,Tesla,NMC,90.04,770,19.76,0.5,0.693,71.42,2.4,0.668,5.75,77.49
BAT000210,Tesla,NMC,68.18,729,33.0,,0.784,38.78,2.1,0.536,0.2,86.07
BAT000211,CATL,NCA,71.1,841,33.8,0.5,1.656,,3.0,0.13,1.66,
BAT000212,CATL,NMC,72.76,968,11.79,1.318,0.576,60.03,5.4,0.16,3.21,87.32
BAT000213,CATL,NCA,76.34,368,32.75,0.5,1.561,30.68,10.0,0.182,2.17,85.81
BAT000214,Panasonic,NMC,69.11,626,26.1,0.5,1.934,,3.1,0.59,2.4,82.28
BAT000215,BYD,NMC,66.68,627,31.8,1.247,0.583,30.48,1.1,0.515,1.03,85.1
BAT000216,Panasonic,NMC,47.24,717,43.67,1.205,1.054,45.34,0.4,0.569,4.12,77.92
BAT000217,Panasonic,NCA,66.52,702,27.65,1.383,1.19,56.25,3.9,0.303,0.43,86.69
BAT000218,BYD,NMC,85.73,1328,22.87,1.29,0.743,52.35,9.1,0.255,3.88,82.7
BAT000219,CATL,NMC,87.75,703,31.95,1.419,1.355,79.99,2.3,0.338,0.34,84.74
BAT000220,BYD,,67.93,770,20.3,0.549,0.5,68.8,8.6,0.337,3.17,82.33
BAT000221,CATL,NCA,94.49,620,32.18,0.5,1.092,69.74,3.4,0.039,1.32,
BAT000222,CATL,NCA,74.57,752,44.35,0.94,0.739,70.68,3.0,0.617,0.24,80.67
BAT000223,Tesla,NCA,54.93,381,30.3,1.005,0.796,39.72,1.4,0.427,,88.43
BAT000224,Panasonic,NCA,50.21,721,17.94,1.168,1.47,57.6,1.5,0.196,1.44,
BAT000225,,NMC,93.27,419,27.96,1.965,1.435,70.71,1.8,0.07,1.97,92.42
BAT000226,Panasonic,NMC,69.4,642,28.73,0.5,0.764,60.67,,0.466,0.1,88.25
BAT000227,Samsung SDI,NMC,56.79,1633,-9.63,0.792,1.41,56.14,15.4,0.173,3.53,77.57
BAT000228,LG Chem,NMC,41.11,2013,29.88,1.369,1.342,35.2,0.7,0.092,3.35,30.35
BAT000229,Samsung SDI,LFP,69.06,556,20.88,1.508,0.846,49.93,2.7,0.281,0.39,92.47
BAT000230,CATL,NCA,81.07,153,20.59,0.5,0.544,44.78,17.2,0.389,1.83,94.58
BAT000231,BYD,NMC,,586,30.33,0.912,1.407,68.1,3.6,0.382,3.18,84.99
BAT000232,LG Chem,LFP,59.2,480,21.22,0.5,0.916,41.28,,0.289,0.23,92.9
BAT000233,CATL,NCA,66.76,509,40.36,1.845,0.848,71.14,1.6,0.497,4.25,79.59
BAT000234,LG Chem,NMC,93.65,932,18.99,0.965,0.603,59.81,4.5,0.223,0.98,86.29
BAT000235,Tesla,NMC,54.11,958,25.93,0.577,0.706,,,0.665,2.3,82.81
BAT000236,BYD,NMC,65.37,865,26.53,0.5,0.948,78.38,1.1,0.283,0.42,87.53
BAT000237,Panasonic,NMC,93.16,634,22.72,0.5,1.185,73.24,5.1,0.549,0.36,84.88
BAT000238,Tesla,LFP,82.41,,36.87,0.953,1.087,,2.5,0.31,1.66,87.76
BAT000239,CATL,NMC,,347,36.81,1.47,0.824,64.64,2.4,0.089,0.46,
BAT000240,Tesla,NMC,65.27,,37.31,0.6,1.144,55.96,0.1,0.261,2.76,84.11
BAT000241,Samsung SDI,NCA,75.46,467,25.92,2.38,1.009,56.78,9.2,0.25,1.6,90.77
BAT000242,Samsung SDI,NMC,66.93,963,-9.44,1.397,0.5,58.44,4.6,0.163,0.78,87.88
BAT000243,Samsung SDI,NMC,62.11,516,18.04,1.612,1.064,60.07,3.7,0.218,1.65,89.09
BAT000244,Panasonic,,58.8,479,24.14,0.5,0.605,60.09,1.1,0.215,0.94,89.99
BAT000245,,NMC,86.76,848,44.24,0.5,0.533,64.7,0.7,0.209,0.61,83.75
BAT000246,Samsung SDI,NMC,74.09,1128,22.92,0.5,0.908,64.21,1.9,0.097,0.67,87.94
BAT000247,,LFP,79.72,798,31.0,1.372,0.5,41.16,2.4,,10.17,78.14
BAT000248,Samsung SDI,NMC,77.28,699,34.82,0.875,0.5,,2.3,0.389,3.32,78.37
BAT000249,Samsung SDI,LFP,81.61,1012,6.98,0.5,0.5,85.34,4.2,0.348,1.61,87.72
BAT000250,BYD,NMC,71.18,773,17.3,2.169,1.275,29.47,2.9,0.241,0.39,88.33
BAT000251,Panasonic,NMC,67.78,498,31.64,0.819,0.798,64.22,5.1,0.063,2.74,86.99
BAT000252,LG Chem,NMC,62.77,706,26.88,1.128,1.448,69.16,4.8,0.548,1.29,83.8
BAT000253,BYD,NMC,53.79,266,27.28,0.5,0.884,53.43,3.8,0.053,1.05,99.94
BAT000254,Panasonic,LFP,,749,29.88,1.316,0.585,53.14,3.0,0.706,1.98,84.15
BAT000255,Tesla,LFP,69.52,1558,41.05,1.381,0.712,49.21,1.6,0.084,,78.36
BAT000256,CATL,NCA,50.95,441,28.09,0.5,1.195,55.1,1.5,0.588,1.27,86.58
BAT000257,Samsung SDI,LFP,54.27,397,,1.432,0.575,80.4,2.0,0.122,0.73,92.4
BAT000258,CATL,NMC,90.63,1502,28.23,1.265,1.461,,6.9,0.334,2.12,78.96
BAT000259,CATL,,78.36,1049,18.32,1.784,0.818,63.04,2.5,0.609,7.74,80.44
BAT000260,Tesla,LFP,68.22,772,25.56,0.5,0.5,71.14,6.0,0.156,2.1,85.63
BAT000261,CATL,LFP,109.07,900,9.0,1.561,0.5,50.44,7.5,0.167,0.81,91.31
BAT000262,Samsung SDI,LFP,50.28,506,32.31,1.356,1.484,62.24,0.9,0.032,4.74,91.04
BAT000263,Tesla,LFP,89.63,278,24.39,,0.745,10.59,0.5,0.182,7.14,92.52
BAT000264,LG Chem,NMC,73.33,123,20.8,1.192,0.501,53.55,3.0,,3.39,91.73
BAT000265,BYD,LFP,86.78,613,18.06,1.157,0.605,49.54,15.6,0.18,5.76,85.81
